State;Year;Mo;Day;Victim;County;Latitude;Longitude;Race;Sex;Mob;Offense;Note;2nd Name;3rd Name;;Comments;;;;;;;;;;;;;;;;;;;Source
SC;1919;6;7;Mark Smith;Abbeville;34,2226;-82,4593;Blk;Male;;Shot sheriff;;Max Smith;;;;;;;;;;;;;;;;;;;;;;
SC;1883;1;1;David Roberts;Abbeville ;34,2226;-82,4593;Blk;Male;;Assault & robbery;;Robert Dane;;;;;;;;;;;;;;;;;;;;;;
SC;1889;5;8;Tut Danford;Abbeville ;34,2226;-82,4593;Blk;Male;Blk;Turned State's evidence;;;;;;;;;;;;;;;;;;;;;;;;
SC;1905;9;17;Allen Pendleton;Abbeville ;34,2226;-82,4593;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1915;7;12;Will Lozier;Abbeville ;34,2226;-82,4593;Blk;Male;;Murder;;;;;;;;;;;;;;;;;;;;;;;;
SC;1916;10;21;Anthony Crawford;Abbeville ;34,2226;-82,4593;Blk;Male;;Murderous assault;;;;;;;;;;;;;;;;;;;;;;;;
KY;1892;5;31;Wick Willis;Adair;37,1041;-85,2807;Blk;Male;;Attempted rape;;Heck Willis;;;;;;;;;;;;;;;;;;;;;;
MS;1888;6;17;Washington Ives;Adams ;31,4829;-91,3535;Blk;Male;;Attempted rape;;;;;;;;;;;;;;;;;;;;;;;;
MS;1918;8;15;Bill Dukes;Adams ;31,4829;-91,3535;Blk;Male;;Unknown;;;;;;;;;;;;;;;;;;;;;;;;
SC;1896;2;29;Calvin Kennedy;Aiken ;33,5443;-81,6347;Blk;Male;;Rape;;Melville Kennedy;;;;;;;;;;;;;;;;;;;;;;
SC;1896;7;17;Dan Dicks;Aiken ;33,5443;-81,6347;Blk;Male;;Intent to rape;;— Stallings;;;;;;;;;;;;;;;;;;;;;;
SC;1900;2;17;Wm. Burt;Aiken ;33,5443;-81,6347;Blk;Male;;Assault;;Wm. Burts;;;;;;;;;;;;;;;;;;;;;;
SC;1903;7;16;Jesse Butler;Aiken ;33,5443;-81,6347;Blk;Male;;Refused information;Uncertain;;;;;;;;;;;;;;;;;;;;;;;
